"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 05 17:21:25 GMT 2023","Mon Jun 05 17:21:27 GMT 2023","1783","","courier.LoginCourierTest","","courier.LoginCourierTest","loginCourierWithEmptyPassword","Login courier with empty password",""
"passed","Mon Jun 05 17:21:30 GMT 2023","Mon Jun 05 17:21:32 GMT 2023","2884","","courier.DeleteCourierTest","","courier.DeleteCourierTest","deleteCourier","Delete courier",""
"passed","Mon Jun 05 17:21:17 GMT 2023","Mon Jun 05 17:21:21 GMT 2023","4249","","courier.CreateCourierTest","","courier.CreateCourierTest","createNewCourier","Create new courier with valid data",""
"passed","Mon Jun 05 17:21:28 GMT 2023","Mon Jun 05 17:21:30 GMT 2023","1744","","courier.LoginCourierTest","","courier.LoginCourierTest","loginCourier","Login courier with valid data",""
"passed","Mon Jun 05 17:21:35 GMT 2023","Mon Jun 05 17:21:36 GMT 2023","853","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrder[Color: []]","Create new order with different colors",""
"passed","Mon Jun 05 17:21:21 GMT 2023","Mon Jun 05 17:21:24 GMT 2023","2989","","courier.CreateCourierTest","","courier.CreateCourierTest","createNewCourierWithSameLogin","Create new courier with same login",""
"passed","Mon Jun 05 17:21:34 GMT 2023","Mon Jun 05 17:21:35 GMT 2023","859","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrder[Color: [BLACK, GREY]]","Create new order with different colors",""
"passed","Mon Jun 05 17:21:36 GMT 2023","Mon Jun 05 17:21:43 GMT 2023","7513","","order.GetOrderListTest","","order.GetOrderListTest","getOrderList","Get list of orders",""
"passed","Mon Jun 05 17:21:32 GMT 2023","Mon Jun 05 17:21:33 GMT 2023","838","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrder[Color: [BLACK]]","Create new order with different colors",""
"passed","Mon Jun 05 17:21:27 GMT 2023","Mon Jun 05 17:21:28 GMT 2023","859","","courier.LoginCourierTest","","courier.LoginCourierTest","loginCourierWithInvalidLogin","Login courier with invalid login",""
"passed","Mon Jun 05 17:21:33 GMT 2023","Mon Jun 05 17:21:34 GMT 2023","891","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrder[Color: [GREY]]","Create new order with different colors",""
"passed","Mon Jun 05 17:21:24 GMT 2023","Mon Jun 05 17:21:25 GMT 2023","905","","courier.CreateCourierTest","","courier.CreateCourierTest","createNewCourierWithEmptyPassword","Create new courier with null password",""
