"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 05 17:21:52 GMT 2023","Mon Jun 05 17:21:53 GMT 2023","1048","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrder[Color: [BLACK]]","Create new order with different colors",""
"passed","Mon Jun 05 17:21:49 GMT 2023","Mon Jun 05 17:21:52 GMT 2023","3203","","courier.DeleteCourierTest","","courier.DeleteCourierTest","deleteCourier","Delete courier",""
"passed","Mon Jun 05 17:21:43 GMT 2023","Mon Jun 05 17:21:45 GMT 2023","2146","","courier.LoginCourierTest","","courier.LoginCourierTest","loginCourierWithEmptyPassword","Login courier with empty password",""
"passed","Mon Jun 05 17:21:55 GMT 2023","Mon Jun 05 17:21:56 GMT 2023","1081","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrder[Color: []]","Create new order with different colors",""
"passed","Mon Jun 05 17:21:37 GMT 2023","Mon Jun 05 17:21:43 GMT 2023","6437","","courier.CreateCourierTest","","courier.CreateCourierTest","createNewCourierWithEmptyPassword","Create new courier with null password",""
"passed","Mon Jun 05 17:21:45 GMT 2023","Mon Jun 05 17:21:46 GMT 2023","1029","","courier.LoginCourierTest","","courier.LoginCourierTest","loginCourierWithInvalidLogin","Login courier with invalid login",""
"passed","Mon Jun 05 17:21:56 GMT 2023","Mon Jun 05 17:22:04 GMT 2023","8439","","order.GetOrderListTest","","order.GetOrderListTest","getOrderList","Get list of orders",""
"passed","Mon Jun 05 17:21:53 GMT 2023","Mon Jun 05 17:21:54 GMT 2023","1038","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrder[Color: [GREY]]","Create new order with different colors",""
"passed","Mon Jun 05 17:21:30 GMT 2023","Mon Jun 05 17:21:36 GMT 2023","5110","","courier.CreateCourierTest","","courier.CreateCourierTest","createNewCourier","Create new courier with valid data",""
"passed","Mon Jun 05 17:21:46 GMT 2023","Mon Jun 05 17:21:49 GMT 2023","2176","","courier.LoginCourierTest","","courier.LoginCourierTest","loginCourier","Login courier with valid data",""
"passed","Mon Jun 05 17:21:36 GMT 2023","Mon Jun 05 17:21:37 GMT 2023","1031","","courier.CreateCourierTest","","courier.CreateCourierTest","createNewCourierWithSameLogin","Create new courier with same login",""
"passed","Mon Jun 05 17:21:54 GMT 2023","Mon Jun 05 17:21:55 GMT 2023","1016","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrder[Color: [BLACK, GREY]]","Create new order with different colors",""
